,Sample name,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Name,
30975,,,,,,,,,,,,,,,,,,,,,,,,,,59071.7,,,,,
30971,,,,,,,,,,,,,,,,80062,,,,,,,,,,,,,,,
30968,,,,,66042.4,,,,,,,,,,,,,,,,,,,,,,,,,,
30967,,,,,,,,,,,,,,,,,,,,,,,,,,,85815.1,,,,
30965,,,,,,,,,,,,,,,,,,,,,,,,,,,,104239,,,
30962,,,,,,,,122994,,,,,,,,,,,,,,,,,,,,,,,
30960,,,,,,,,,,,,,,,,,,77236.8,,,117739,,,,,,,,,,63571
30959,,,,,,,,,,,,,,,,,,,173511,,,,,,,,,,,,
30958,,,,,,,,,208809,,,,,,,,,,,,,,,,,,,,,,
30957,,,,,,,,,,171360,,,,,,,,,,154521,,,,,,,,,,,
30956,,,,,,,,,,,160658,,,,,,,,,,,,,,,,,,173755,130314,
30950,,,,,,,107275,,,,,,,,,,,,,,,,,,,,,,,,
30948,,,,,,,,,,,,,,,,,,,,,,,,34492.4,,,,,,,
30947,,,,,,105308,,,,,,,,,,,,,,,,,,,,79751.9,,,,,
30946,,,,,,,,,,,,,,,,,91758.8,,,,,,,,,,,,,,
30935,,,,67833.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,,,,,,,,,,,,,,,,,,,,,,,,,,,98988.3,,,,
30932,,,,,,,,,,,125553,,,,,,,,,,,,,,,,,,,,
30931,,,,,,,115859,,,,,,,,,,,,,,,,,,,,,,,,
30928,,,,,,,,,204870,,,,,,,,,132531,,,,,,,,,,,177916,,105013
30926,,,,,,,,,,207015,,,,,,,,,,,,,,,,,,,,,
30925,,,,,,,,,,,,,,,,,,,166244,124755,,,,,,,,101075,,,
30923,,,,,,,,,,,,,,,,,,,,,137473,,,,,,,,,,
30922,,,,,,,,84360.7,,,,,,,,,,,,,,,,,,,,,,124966,
30919,,,,,,,,,,,,,,,,90558.1,,,,,,,,,,,,,,,
30912,,,,,,99437.4,,,,,,,,,,,,,,,,,,,,,,,,,
30909,,,,,,,103076,,,,,,,,,,,,,,,,,,,,,,,,
30902,,,,,,,,,,,132806,,,,,,,,,,,,,,,,,,,,94842.6
30899,,,,,,,,,,,,,,,,,65882.8,,,,,,,,,68685.5,,,,,
30898,,,,,,,,,,,,,,,,,,,,,,,,,,,92120,,,,
30897,,,,,48385.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30896,,,,,,,,,,,,,,,,79503.5,,,,,,,,,,,,,,,
30891,,,,,,,,,,,,,,,,,,,,,,,,,,,,144779,,,
30890,,,,,,,,,,,,,,,,,,,,,110749,,,,,,,,,,
30889,,,,,,,,,212301,,,,,,,,,,134787,,,,,,,,,,,171163,
30887,,,,,,,,,,179967,,,,,,,,,,,,,,,,,,,234734,,
30885,,,,,,,,,,,,,,,,,,163912,,176950,,,,,,,,,,,
30878,,,,,,,,,,,,,,,,,,,,,,,,,,96324.5,,,,,
30873,,,,,,,,,,,,,,,,123526,,,,,,,,,,,,,,,
30871,,,,,,,,,,,,,,,,,,,,,,,,,,,95797.7,,,,
30870,,,,,,114349,130487,,,,,,,,,,,,,,,,,,,,,,,,
30867,,,,,,,,,,,,,,,,,,,,,,,,,,,,103907,,,
30865,,,,,,,,147346,,,,,,,,,,,,,,,,,,,,,,,
30862,,,,,,,,,,,,,,,,,118713,,,,,,,,,,,,,,
30858,,,,,57062,,,,,,,,,,,,,,,,,,,,,,,,,,
30850,,,,,,,,,,,,,,31281.4,,,,,,,,,,,,,,,,,
30845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282263
30844,,,,,,,,,,1090070,,,,,,,,,,,323585,,,,,,,,,,
30843,,,,,,,,,1120650,,533096,,,,,,,474299,,684621,,,,,,,,,1048390,785242,
30842,,,,,,,154868,232043,,,,,,,,,,,939640,,,,,,,,,319658,,,
30841,,,,,,,,,,,,,,,,,,,,,,,,,,,122742,,,,
30840,,,,,,,,,,,,,,,,,118769,,,,,,,,,,,,,,
30839,,,,,,,,,,,,,,,,,,,,,,,,,,97275.9,,,,,
30838,,,,,,,,,,,,,,,105549,,,,,,,,,,,,,,,,
30834,,,,,,190626,,,,,,,,,,,,,,,,,,,,,,,,,
30833,,,,,59715.1,,,,,,,,,,,156367,,,,,,,,,,,,,,,
30823,,,,,,,,,,,,,,,,,,,,,,,,,78705,,,,,,
30820,,,,,,,163012,159978,,,,,,,,,,,,,,,,,,,,,,,
30819,,,,,,,,,,,,,,,,,143567,,,,,,,,,,,,,,
30818,,,,,,,,,,,,,,,,,,196047,,,,,,,,,,170444,,,
30815,,,,,,,,,269061,,79690,,,,82783.2,,,,,,,,,,,,,,,,
30814,,,,,,,,,,240718,,,,,,,,,,,,,,,,,,,,,
30813,,,,,,,,,,,,,,,,,,,229216,116067,,,,,,,,,,,
30812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199960,,
30811,,,,,,,,,,,,,,,,123335,,,,,,,,,,,,,,,71107.1
30810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106611,
30805,,,,,76588.3,,,,,,,,,,,,,,,,,,,,,108826,,,,,
30801,,,,,,111054,,,,,,,,,,,,,,,,,,,,,,,,,
30795,,,,,,,,,,,,,,,,,,,,,148758,,,,,,,,,,
30791,,,,,,,185472,,,,,,,,,,,,,,,,,,,,,,,,
30788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74171.2
30787,,,,,,,,,,,,,,,,,182892,,,,,,,,,,,,,,
30785,,,,,,,,,,,,,,,,,,,,,,,,,,,176121,,,,
30784,,,,,,,,,,,,,,,,,,,,125091,,,,,,,,,,,
30783,,,,,,,,204922,,171124,,,,,,,,,,,,,,,,,,,,,
30782,,,,,,,,,,,,,,,,,,,,,,,,,,123634,,210634,,,
30780,,,,,,,,,274801,,91623.1,,,,,,,214043,177621,,,,,,,,,,283242,,
30779,,,,,,,,,,,,,,,,,,,,,,,,,38200.1,,,,,177747,
30778,,,,,,97928.7,,,,,,,,,,,,,,,109791,,,,,,,,,,
30771,,,,64895,,,,,,,,,,,,,,,,,,,,,,,,,,,
30770,,,,,98744.9,,,,,,,,,,,,,,,,,,,,,,,,,,
30763,,,,,,,,,,,,,,,123400,,,,,,,,,,,,,,,,
30756,,,,,,208010,,,,,,,,,,,,,,,,,,,,,,,,,
30755,,,,,,,292937,,,,143550,,,,,,,,,,136897,,,,,133362,,,,,
30754,,,,,,,,,,,,,,,,,,,,,,,,,,,193326,,,257176,
30753,,,,,,,,,,,,,,,,192162,,,,,,,,,,,,,,,103855
30752,,,,,,,,,,,,,,,,,,,,221140,,,,,,,,,,,
30751,,,,,,,,,,,,,,,,,202100,,,,,,,,,,,,,,
30740,,,,73156.5,,,,454522,,339620,,,,,,,,,,,,,,,,,,557713,,,
30739,,,,,,,,,862729,,,,,,,,,673264,529613,,,,,,,,,,,,
30738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630453,,
30733,,,,,132222,,,,,,,,,,,,,,,,,,,,,,,,,,
30724,,,,,,,,,,,,,,46713.9,,,,,,,,,,,,,,,,,
30723,,,,,,444794,,,,,,,,,,310529,,,,,,,,,,,,,,,
30722,,,,,,,,,,,,,,,,,,,,,,,,,,199771,,,,,
30721,,,,,,,,,,,,,,,,,,,,,,,,,120144,,,,,,
30717,,,,58751.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716,,,51701.8,,,,,,,,,,,,113567,,,,,,,,,,,,,,,,
30714,,,,,,,369977,,,,,,,,,,282177,,,,,,,,,,,,,,
30713,,,,,,,,,,,,,,,,,,,,,,,,,,,309332,,,,
30712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243854
30710,,,,,,,,,,,,,,,,,,,,,238985,,,,,,,,,,
30708,,,,,,,,331382,,,,,,,,,,,,,,,,,,,,,,,
