"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"80",1312.453,2248.0885,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H4N5F2S1","H5N2","no glycan",31518.2835,3.0432817118639e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F2S1 _ H5N2 _ no glycan"
"81",656,2264.0879,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N5F1S1","H5N2","no glycan",30877.8299,2.56666168482451e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N5F1S1 _ H5N2 _ no glycan"
"82",947.323,2264.0879,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N5F1S1","H5N2","no glycan",31169.1529,5.04981140219509e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F1S1 _ H5N2 _ no glycan"
"83",1021.74,2264.0879,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N5F1S1","H5N2","no glycan",31243.5699,2.86862179798018e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N5F1S1 _ H5N2 _ no glycan"
"84",1063.363,2264.0879,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N5F1S1","H5N2","no glycan",31285.1929,3.29473844528537e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N5F1S1 _ H5N2 _ no glycan"
"85",1143.333,2264.0879,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N5F1S1","H5N2","no glycan",31365.1629,4.53993242555154e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N5F1S1 _ H5N2 _ no glycan"
"86",1167.423,2264.0879,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N5F1S1","H5N2","no glycan",31389.2529,7.12550895104372e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N5F1S1 _ H5N2 _ no glycan"
"87",1209.433,2264.0879,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N5F1S1","H5N2","no glycan",31431.2629,8.21426944552239e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N5F1S1 _ H5N2 _ no glycan"
"88",1312.453,2264.0879,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N5F1S1","H5N2","no glycan",31534.2829,1.03181286994461e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5F1S1 _ H5N2 _ no glycan"
"89",656,2352.1508,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F1S2","H5N2","no glycan",30965.8928,3.27213806390485e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F1S2 _ H5N2 _ no glycan"
"90",947.323,2352.1508,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F1S2","H5N2","no glycan",31257.2158,6.4378099390193e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F1S2 _ H5N2 _ no glycan"
"91",1021.74,2352.1508,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F1S2","H5N2","no glycan",31331.6328,3.65709537474936e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F1S2 _ H5N2 _ no glycan"
"92",1063.363,2352.1508,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F1S2","H5N2","no glycan",31373.2558,4.20033506603971e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F1S2 _ H5N2 _ no glycan"
"93",1143.333,2352.1508,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F1S2","H5N2","no glycan",31453.2258,5.78778488222095e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F1S2 _ H5N2 _ no glycan"
"94",1167.423,2352.1508,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F1S2","H5N2","no glycan",31477.3158,9.08403674752289e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F1S2 _ H5N2 _ no glycan"
