"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"69",1143.333,2160.0256,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N6F2","H3N4F1","no glycan",31537.6188,3.2033055946684e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N6F2 _ H3N4F1 _ no glycan"
"70",1167.423,2160.0256,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N6F2","H3N4F1","no glycan",31561.7088,6.556067704353e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N6F2 _ H3N4F1 _ no glycan"
"71",1209.433,2160.0256,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N6F2","H3N4F1","no glycan",31603.7188,1.09211387550932e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N6F2 _ H3N4F1 _ no glycan"
"72",1312.453,2160.0256,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H4N6F2","H3N4F1","no glycan",31706.7388,1.87442583062294e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N6F2 _ H3N4F1 _ no glycan"
"73",656,2207.0359,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F2S1","H3N4F1","no glycan",31097.2961,2.80926888065344e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F2S1 _ H3N4F1 _ no glycan"
"74",947.323,2207.0359,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F2S1","H3N4F1","no glycan",31388.6191,0.000177046453698257,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H3N4F1 _ no glycan"
"75",1021.74,2207.0359,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F2S1","H3N4F1","no glycan",31463.0361,9.39484646606327e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F2S1 _ H3N4F1 _ no glycan"
"76",1063.363,2207.0359,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F2S1","H3N4F1","no glycan",31504.6591,7.03785790107882e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F2S1 _ H3N4F1 _ no glycan"
"77",1143.333,2207.0359,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F2S1","H3N4F1","no glycan",31584.6291,3.19404191146981e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F2S1 _ H3N4F1 _ no glycan"
"78",1167.423,2207.0359,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F2S1","H3N4F1","no glycan",31608.7191,6.53710812261885e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F2S1 _ H3N4F1 _ no glycan"
"79",1209.433,2207.0359,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N4F2S1","H3N4F1","no glycan",31650.7291,1.08895557647712e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F2S1 _ H3N4F1 _ no glycan"
"80",1312.453,2207.0359,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N4F2S1","H3N4F1","no glycan",31753.7491,1.86900515296326e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F2S1 _ H3N4F1 _ no glycan"
"81",656,2248.0885,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N5F2S1","H3N4F1","no glycan",31138.3487,6.07096982705514e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H4N5F2S1 _ H3N4F1 _ no glycan"
"82",947.323,2248.0885,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N5F2S1","H3N4F1","no glycan",31429.6717,0.000382606195438018,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H3N4F1 _ no glycan"
"83",1021.74,2248.0885,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N5F2S1","H3N4F1","no glycan",31504.0887,2.03027306563903e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H4N5F2S1 _ H3N4F1 _ no glycan"
"84",1063.363,2248.0885,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N5F2S1","H3N4F1","no glycan",31545.7117,1.52091610948301e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N5F2S1 _ H3N4F1 _ no glycan"
"85",1143.333,2248.0885,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N5F2S1","H3N4F1","no glycan",31625.6817,6.90248349113966e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F2S1 _ H3N4F1 _ no glycan"
"86",1167.423,2248.0885,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N5F2S1","H3N4F1","no glycan",31649.7717,1.41270159086321e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N5F2S1 _ H3N4F1 _ no glycan"
"87",1209.433,2248.0885,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N5F2S1","H3N4F1","no glycan",31691.7817,2.35328718205795e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F2S1 _ H3N4F1 _ no glycan"
"88",1312.453,2248.0885,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H4N5F2S1","H3N4F1","no glycan",31794.8017,4.03901312843051e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F2S1 _ H3N4F1 _ no glycan"
"89",656,2409.2028,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N5S2","H3N4F1","no glycan",31299.463,2.9085904194681e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N5S2 _ H3N4F1 _ no glycan"
"90",947.323,2409.2028,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N5S2","H3N4F1","no glycan",31590.786,0.00018330592083011,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H3N4F1 _ no glycan"
"91",1021.74,2409.2028,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N5S2","H3N4F1","no glycan",31665.203,9.72700071956423e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N5S2 _ H3N4F1 _ no glycan"
"92",1063.363,2409.2028,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N5S2","H3N4F1","no glycan",31706.826,7.28668096017009e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N5S2 _ H3N4F1 _ no glycan"
"93",1143.333,2409.2028,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N5S2","H3N4F1","no glycan",31786.796,3.30696707853746e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N5S2 _ H3N4F1 _ no glycan"
"94",1167.423,2409.2028,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N5S2","H3N4F1","no glycan",31810.886,6.76822720225117e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N5S2 _ H3N4F1 _ no glycan"
"95",1209.433,2409.2028,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N5S2","H3N4F1","no glycan",31852.896,1.12745553790885e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N5S2 _ H3N4F1 _ no glycan"
"96",1312.453,2409.2028,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N5S2","H3N4F1","no glycan",31955.916,1.93508372206116e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5S2 _ H3N4F1 _ no glycan"
"97",656,2281.1154,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H6N5F2","H3N4F1","no glycan",31171.3756,6.90117506676645e-07,"Hex(1)HexNAc(1)NeuAc(1) _ H6N5F2 _ H3N4F1 _ no glycan"
"98",947.323,2281.1154,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H6N5F2","H3N4F1","no glycan",31462.6986,4.34927599966021e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F2 _ H3N4F1 _ no glycan"
